id_transaction,date,produit,quantite,prix_unitaire,vendeur,zone_client,mode_paiement,montant_fcfa
TXN0001,2024-06-12,Huile végétale (5L),1,2000,Koffi C.,Plateau,Espèces,2000
TXN0002,2024-02-05,Huile végétale (5L),18,2000,Kouamé A.,Marcory,Mobile Money,36000
TXN0003,2024-01-09,Riz (sac 25kg),3,3500,Adjoua B.,Plateau,Carte bancaire,10500
TXN0004,2024-06-03,Riz (sac 25kg),18,3500,Adjoua B.,Marcory,Mobile Money,63000
TXN0005,2024-02-26,Tomate concentrée,19,500,Koffi C.,Cocody,Espèces,9500
TXN0006,2024-06-27,Sardines en boîte,11,1200,Koffi C.,Plateau,Espèces,13200
TXN0007,2024-03-27,Huile végétale (5L),3,2000,Aminata D.,Cocody,Mobile Money,6000
TXN0008,2024-03-29,Farine de blé (1kg),2,750,Aminata D.,Marcory,Espèces,1500
TXN0009,2024-04-06,Huile végétale (5L),18,2000,Koffi C.,Marcory,Mobile Money,36000
TXN0010,2024-05-27,Sucre (1kg),3,500,Kouamé A.,Plateau,Mobile Money,1500
TXN0011,2024-01-21,Sucre (1kg),4,500,Aminata D.,Yopougon,Mobile Money,2000
TXN0012,2024-06-11,Savon de ménage,6,1000,Koffi C.,Yopougon,Espèces,6000
TXN0013,2024-06-20,Farine de blé (1kg),3,750,Bamba E.,Plateau,Carte bancaire,2250
TXN0014,2024-03-03,Lait en poudre (400g),15,1500,Aminata D.,Yopougon,Carte bancaire,22500
TXN0015,2024-06-25,Eau minérale (1.5L),8,500,Koffi C.,Cocody,Espèces,4000
TXN0016,2024-01-09,Savon de ménage,13,1000,Koffi C.,Cocody,Espèces,13000
TXN0017,2024-05-25,Savon de ménage,7,1000,Aminata D.,Adjamé,Carte bancaire,7000
TXN0018,2024-04-27,Lait en poudre (400g),9,1500,Adjoua B.,Plateau,Carte bancaire,13500
TXN0019,2024-05-23,Eau minérale (1.5L),9,500,Bamba E.,Adjamé,Carte bancaire,4500
TXN0020,2024-04-12,Savon de ménage,8,1000,Adjoua B.,Marcory,Mobile Money,8000
TXN0021,2024-01-24,Riz (sac 25kg),4,3500,Adjoua B.,Plateau,Carte bancaire,14000
TXN0022,2024-04-18,Huile végétale (5L),13,2000,Aminata D.,Marcory,Mobile Money,26000
TXN0023,2024-05-15,Farine de blé (1kg),18,750,Kouamé A.,Cocody,Carte bancaire,13500
TXN0024,2024-05-17,Farine de blé (1kg),11,750,Kouamé A.,Yopougon,Mobile Money,8250
TXN0025,2024-02-10,Tomate concentrée,1,500,Koffi C.,Marcory,Espèces,500
TXN0026,2024-05-09,Huile végétale (5L),10,2000,Bamba E.,Marcory,Espèces,20000
TXN0027,2024-02-09,Savon de ménage,6,1000,Bamba E.,Marcory,Espèces,6000
TXN0028,2024-06-02,Savon de ménage,16,1000,Kouamé A.,Cocody,Mobile Money,16000
TXN0029,2024-03-19,Sucre (1kg),2,500,Adjoua B.,Marcory,Espèces,1000
TXN0030,2024-01-22,Tomate concentrée,3,500,Bamba E.,Plateau,Espèces,1500
TXN0031,2024-06-17,Tomate concentrée,18,500,Adjoua B.,Yopougon,Carte bancaire,9000
TXN0032,2024-06-04,Sardines en boîte,7,1200,Bamba E.,Plateau,Carte bancaire,8400
TXN0033,2024-03-20,Sardines en boîte,12,1200,Aminata D.,Marcory,Mobile Money,14400
TXN0034,2024-01-31,Sucre (1kg),8,500,Kouamé A.,Yopougon,Espèces,4000
TXN0035,2024-05-30,Eau minérale (1.5L),8,500,Bamba E.,Plateau,Espèces,4000
TXN0036,2024-01-19,Riz (sac 25kg),8,3500,Kouamé A.,Cocody,Mobile Money,28000
TXN0037,2024-01-19,Eau minérale (1.5L),8,500,Koffi C.,Adjamé,Espèces,4000
